tc_id,prd_req_id,ac_desc,test_type,bdd_file,status,priority
TC-E2E-ACCT-001-S,US-ACCT-001/AC-1,帳號註冊成功,E2E,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-002-S,US-ACCT-001/AC-2,登入 JWT+Refresh Token 簽發,Integration,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-003-E,US-ACCT-001/AC-3,Email 已存在 409,Integration,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-004-E,US-ACCT-001/AC-4,Rate Limit 429,Integration,features/auth/user_login.feature,TODO,P0
TC-UNIT-ACCT-005-B,US-ACCT-001/AC-5,密碼強度邊界,Unit,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-006-E,,過期 JWT 401,Integration,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-007-E,,他人資料 403,Integration,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-008-S,US-ACCT-001/AC-2,有效憑證登入 access_token+refresh_token,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-009-S,,Refresh Token 換新 access_token 舊 token 作廢,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-010-S,,登出 refresh_token 作廢,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-011-E,,錯誤密碼 401 INVALID_CREDENTIALS,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-012-E,,不存在 email 401,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-013-E,,撤銷 refresh_token 401 TOKEN_REVOKED,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-014-E,,無 Authorization header 401,Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-015-B,,JWT Token 有效期邊界(access 14/16min refresh 6/8day),Integration,features/auth/user_login.feature,TODO,P0
TC-INT-ACCT-016-E,,同一 IP 1 分鐘超過 5 次註冊 429,Integration,features/auth/user_registration.feature,TODO,P0
TC-INT-ACCT-017-E,,agree_terms=false 400 VALIDATION_ERROR,Integration,features/auth/user_registration.feature,TODO,P0
TC-E2E-ROOM-001-S,US-ROOM-001/AC-1,快速匹配進房,E2E,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-002-S,US-ROOM-001/AC-2,魚同步 < 100ms,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-003-S,US-ROOM-001/AC-4,玩家斷線 Bot 補位,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-004-S,,WS 事件往返延遲 P99 < 100ms,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-004-E,US-ROOM-001/AC-4,WS 重連失敗 Bot 接替,Integration,,TODO,P0
TC-E2E-ROOM-003-S,US-ROOM-001/AC-3,Bot 補位 E2E,E2E,,TODO,P0
TC-E2E-ROOM-005-S,US-ROOM-001/AC-5,結算 MVP,E2E,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-ROOM-005-E,,房間已滿 6 人 422 ROOM_FULL,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-006-E,US-ROOM-001/AC-6,Colyseus 503 Circuit Breaker,Integration,,TODO,P0
TC-UNIT-ROOM-007-E,US-ROOM-001/AC-7,金幣不足進高倍率房間,Unit,,TODO,P0
TC-INT-ROOM-007-E,,無 JWT Token WS 握手 401,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-008-E,,過期偽造 JWT WS 握手 401,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-009-B,,房間人數邊界(3→waiting / 4+→game_started),Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-ROOM-010-S,,30s 匹配超時機器人補位,Integration,features/game/room_matchmaking.feature,TODO,P0
TC-INT-FISH-001-S,US-FISH-001/AC-1,命中金幣即時到帳,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-002-S,,未命中不扣金幣彈藥-1,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-003-S,,不同魚種倍率計算正確,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-003-B,US-FISH-001/AC-3,Boss 贏者通吃+逃跑安慰獎規則,Integration,features/game/fishing_gameplay.feature(待補充),TODO,P0
TC-INT-FISH-004-S,,武器倍率x魚種倍率疊加,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-005-S,,單局全程未命中保底 10 金幣,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-005-E,US-FISH-001/AC-5,魚群服務崩潰降級靜態波次,Integration,features/game/fishing_gameplay.feature(待補充),TODO,P0
TC-INT-FISH-006-B,US-FISH-001/AC-6,6 玩家同時命中 Redis SETNX 唯一,Integration,features/game/fishing_gameplay.feature(待補充),TODO,P0
TC-INT-FISH-007-E,,目標魚已被擊殺 TARGET_NOT_FOUND,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-INT-FISH-008-B,,魚種x武器倍率邊界矩陣,Integration,features/game/fishing_gameplay.feature,TODO,P0
TC-E2E-FISH-002-S,US-FISH-001/AC-2,RTP 計算金幣更新,E2E,,TODO,P0
TC-E2E-FISH-004-S,US-FISH-001/AC-4,Boss 爆炸動畫金幣更新,E2E,,TODO,P0
TC-E2E-WPSK-001-S,US-WPSK-001/AC-1,雷射炮扣費+倍率,E2E,features/game/weapon_skill.feature,TODO,P0
TC-E2E-WPSK-002-S,US-WPSK-001/AC-2,冰凍技能觸發,E2E,,TODO,P0
TC-INT-WPSK-002-S,US-WPSK-001/AC-2,技能冷卻期間無法重複使用,Integration,features/game/weapon_skill.feature,TODO,P0
TC-INT-WPSK-003-S,US-WPSK-001/AC-2,冷卻期結束後可重新使用,Integration,features/game/weapon_skill.feature,TODO,P0
TC-INT-WPSK-005-S,,全屏炸彈命中所有存活魚,Integration,features/game/weapon_skill.feature,TODO,P0
TC-INT-WPSK-006-E,US-WPSK-001/AC-4,非 VIP 使用 VIP 武器 VIP_REQUIRED,Integration,features/game/weapon_skill.feature,TODO,P0
